VisitTime	Activity	METS	AL_Ank_X_pTen	AL_Ank_X_pTwentyFive	AL_Ank_X_pFifty	AL_Ank_X_pSeventyFive	AL_Ank_X_pNinety	AL_Ank_X_cov	AL_Ank_Y_pTen	AL_Ank_Y_pTwentyFive	AL_Ank_Y_pFifty	AL_Ank_Y_pSeventyFive	AL_Ank_Y_pNinety	AL_Ank_Y_cov	AL_Ank_Z_pTen	AL_Ank_Z_pTwentyFive	AL_Ank_Z_pFifty	AL_Ank_Z_pSeventyFive	AL_Ank_Z_pNinety	AL_Ank_Z_cov	AL_Hip_X_pTen	AL_Hip_X_pTwentyFive	AL_Hip_X_pFifty	AL_Hip_X_pSeventyFive	AL_Hip_X_pNinety	AL_Hip_X_cov	AL_Hip_Y_pTen	AL_Hip_Y_pTwentyFive	AL_Hip_Y_pFifty	AL_Hip_Y_pSeventyFive	AL_Hip_Y_pNinety	AL_Hip_Y_cov	AL_Hip_Z_pTen	AL_Hip_Z_pTwentyFive	AL_Hip_Z_pFifty	AL_Hip_Z_pSeventyFive	AL_Hip_Z_pNinety	AL_Hip_Z_cov	AL_LW_X_pTen	AL_LW_X_pTwentyFive	AL_LW_X_pFifty	AL_LW_X_pSeventyFive	AL_LW_X_pNinety	AL_LW_X_cov	AL_LW_Y_pTen	AL_LW_Y_pTwentyFive	AL_LW_Y_pFifty	AL_LW_Y_pSeventyFive	AL_LW_Y_pNinety	AL_LW_Y_cov	AL_LW_Z_pTen	AL_LW_Z_pTwentyFive	AL_LW_Z_pFifty	AL_LW_Z_pSeventyFive	AL_LW_Z_pNinety	AL_LW_Z_cov	AL_RW_X_pTen	AL_RW_X_pTwentyFive	AL_RW_X_pFifty	AL_RW_X_pSeventyFive	AL_RW_X_pNinety	AL_RW_X_cov	AL_RW_Y_pTen	AL_RW_Y_pTwentyFive	AL_RW_Y_pFifty	AL_RW_Y_pSeventyFive	AL_RW_Y_pNinety	AL_RW_Y_cov	AL_RW_Z_pTen	AL_RW_Z_pTwentyFive	AL_RW_Z_pFifty	AL_RW_Z_pSeventyFive	AL_RW_Z_pNinety	AL_RW_Z_cov
900	Computer	1.17	0.47	0.48	0.48	0.48	0.48	0	-0.78	-0.77	-0.77	-0.77	-0.77	0	-0.48	-0.48	-0.48	-0.47	-0.47	0	0.27	0.27	0.28	0.29	0.29	0	0.93	0.93	0.94	0.94	0.95	0	0.16	0.17	0.18	0.18	0.18	0	-0.04	-0.04	-0.03	0.02	0.03	0	0.12	0.13	0.16	0.47	0.48	0	0.84	0.84	0.95	0.96	0.97	0	-0.02	-0.01	-0.01	0	0	0	0.43	0.44	0.47	0.47	0.47	0	0.84	0.84	0.85	0.86	0.86	0
930	Computer	1.51	0.47	0.47	0.47	0.48	0.48	0	-0.78	-0.78	-0.78	-0.77	-0.77	0	-0.48	-0.48	-0.47	-0.47	-0.47	0	0.27	0.27	0.28	0.28	0.28	0	0.93	0.94	0.94	0.95	0.95	0	0.15	0.16	0.17	0.17	0.18	0	-0.05	-0.04	-0.03	-0.03	-0.02	0	0.08	0.09	0.1	0.11	0.12	0	0.96	0.96	0.97	0.97	0.98	0	-0.03	-0.02	-0.02	-0.01	0	0	0.43	0.44	0.45	0.46	0.47	0	0.84	0.85	0.85	0.86	0.86	0
960	Computer	1.44	0.47	0.47	0.47	0.47	0.48	0	-0.79	-0.79	-0.78	-0.78	-0.77	0	-0.48	-0.48	-0.47	-0.47	-0.47	0	0.28	0.28	0.29	0.29	0.3	0	0.93	0.93	0.94	0.94	0.95	0	0.15	0.15	0.16	0.17	0.18	0	-0.05	-0.04	-0.04	-0.03	-0.02	0	0.07	0.09	0.1	0.11	0.13	0	0.96	0.96	0.97	0.97	0.98	0	-0.05	-0.03	-0.03	-0.02	-0.01	0	0.43	0.44	0.45	0.46	0.47	0	0.84	0.85	0.85	0.86	0.87	0
990	Computer	1.53	0.43	0.43	0.44	0.45	0.45	0	-0.86	-0.86	-0.85	-0.84	-0.84	0	-0.39	-0.38	-0.38	-0.37	-0.36	0	0.32	0.32	0.33	0.33	0.34	0	0.92	0.92	0.92	0.93	0.93	0	0.16	0.17	0.18	0.18	0.18	0	-0.06	-0.06	-0.05	-0.04	-0.03	0	0.08	0.09	0.11	0.11	0.13	0	0.96	0.96	0.97	0.97	0.98	0	-0.05	-0.03	-0.03	-0.02	0	0	0.43	0.44	0.45	0.47	0.48	0	0.83	0.84	0.85	0.86	0.87	0
1020	Transition	1.42	0.07	0.07	0.08	0.09	0.45	0	-1	-0.99	-0.99	-0.98	-0.84	0	-0.45	-0.31	-0.3	-0.29	-0.29	0	-0.12	-0.1	-0.09	-0.09	0.15	0	0.92	0.95	0.96	0.96	0.97	0	0.11	0.13	0.14	0.15	0.16	0	-1	-0.99	-0.99	-0.98	-0.75	0	0.05	0.07	0.08	0.09	0.29	0	0.02	0.03	0.04	0.06	0.43	0	0.29	0.98	0.99	0.99	1	0	0.11	0.13	0.14	0.17	0.45	0	0.06	0.06	0.07	0.1	0.67	0
1050	Transition	1.25	0.07	0.08	0.09	0.09	0.11	0	-0.99	-0.99	-0.98	-0.98	-0.98	0	-0.33	-0.33	-0.32	-0.31	-0.3	0	-0.08	-0.08	-0.07	-0.07	-0.06	0	0.96	0.96	0.97	0.97	0.97	0	0.1	0.11	0.13	0.14	0.15	0	-0.99	-0.99	-0.99	-0.98	-0.98	0	0.08	0.09	0.09	0.1	0.1	0	-0.04	-0.03	-0.01	0	0.03	0	0.98	0.99	0.99	0.99	1	0	0.14	0.15	0.15	0.16	0.16	0	0.03	0.04	0.04	0.04	0.05	0
1080	Transition	1.69	-0.09	-0.08	0.04	0.1	0.11	0	-0.98	-0.98	-0.95	-0.86	-0.86	0	-0.6	-0.6	-0.45	-0.32	-0.32	0	-0.09	-0.08	-0.06	0.21	0.23	0	0.95	0.96	0.97	0.97	0.98	0	-0.09	-0.07	0.05	0.11	0.11	0	-1	-0.99	-0.79	-0.03	0.1	0	0.08	0.09	0.27	0.84	0.88	0	-0.04	-0.04	0.18	0.47	0.54	0	0.11	0.19	0.94	0.99	1	0	0.14	0.15	0.16	0.63	0.68	0	-0.02	0.02	0.04	0.7	0.71	0
1110	Writing	1.82	-0.06	-0.05	-0.04	-0.04	-0.04	0	-0.86	-0.86	-0.85	-0.85	-0.85	0	-0.62	-0.61	-0.61	-0.61	-0.6	0	0.22	0.22	0.23	0.23	0.23	0	0.95	0.95	0.96	0.96	0.97	0	-0.09	-0.07	-0.06	-0.04	-0.03	0	-0.08	-0.06	-0.05	-0.03	-0.01	0	0.81	0.84	0.87	0.9	0.93	0	0.34	0.38	0.41	0.45	0.48	0	0.11	0.13	0.14	0.15	0.15	0	0.65	0.66	0.67	0.68	0.68	0	0.66	0.67	0.68	0.68	0.7	0
1140	Writing	1.17	-0.06	-0.06	-0.06	-0.05	-0.05	0	-0.86	-0.86	-0.85	-0.85	-0.85	0	-0.62	-0.61	-0.61	-0.61	-0.61	0	0.22	0.22	0.22	0.23	0.23	0	0.95	0.96	0.96	0.97	0.97	0	-0.06	-0.04	-0.04	-0.03	-0.02	0	-0.09	-0.07	-0.06	-0.04	-0.02	0	0.82	0.85	0.88	0.9	0.93	0	0.34	0.37	0.4	0.43	0.47	0	0.09	0.09	0.1	0.11	0.11	0	0.7	0.7	0.7	0.71	0.72	0	0.63	0.64	0.65	0.65	0.65	0
1170	Writing	1.59	-0.07	-0.06	-0.06	-0.06	-0.06	0	-0.86	-0.85	-0.85	-0.85	-0.85	0	-0.62	-0.62	-0.61	-0.61	-0.61	0	0.21	0.22	0.22	0.23	0.23	0	0.95	0.96	0.96	0.97	0.97	0	-0.05	-0.04	-0.03	-0.02	-0.01	0	-0.09	-0.07	-0.05	-0.03	-0.01	0	0.8	0.85	0.88	0.9	0.93	0	0.32	0.36	0.4	0.43	0.48	0	0.08	0.09	0.09	0.1	0.11	0	0.7	0.71	0.72	0.72	0.72	0	0.62	0.63	0.63	0.64	0.65	0
1200	Writing	1.54	-0.07	-0.06	-0.06	-0.06	-0.06	0	-0.86	-0.85	-0.85	-0.85	-0.85	0	-0.62	-0.62	-0.62	-0.61	-0.61	0	0.21	0.21	0.22	0.22	0.23	0	0.96	0.96	0.96	0.97	0.97	0	-0.04	-0.03	-0.02	0	0	0	-0.09	-0.07	-0.06	-0.04	-0.02	0	0.82	0.85	0.88	0.91	0.94	0	0.32	0.35	0.39	0.43	0.46	0	0.07	0.08	0.09	0.22	0.23	0	0.63	0.64	0.72	0.73	0.73	0	0.61	0.62	0.63	0.68	0.69	0
1230	Writing	1.42	-0.07	-0.06	-0.06	-0.06	-0.06	0	-0.86	-0.85	-0.85	-0.85	-0.85	0	-0.62	-0.62	-0.62	-0.61	-0.61	0	0.21	0.22	0.22	0.23	0.23	0	0.96	0.96	0.96	0.97	0.97	0	-0.01	0	0.01	0.02	0.03	0	-0.08	-0.07	-0.06	-0.04	-0.02	0	0.81	0.85	0.88	0.9	0.93	0	0.34	0.37	0.4	0.44	0.47	0	0.22	0.22	0.22	0.23	0.23	0	0.65	0.65	0.66	0.66	0.66	0	0.66	0.66	0.67	0.68	0.68	0
1260	Writing	1.56	-0.07	-0.07	-0.06	-0.06	-0.06	0	-0.86	-0.85	-0.85	-0.85	-0.85	0	-0.62	-0.62	-0.62	-0.61	-0.61	0	0.21	0.21	0.22	0.22	0.23	0	0.96	0.96	0.96	0.97	0.97	0	-0.02	-0.01	0	0.01	0.02	0	-0.08	-0.06	-0.04	-0.02	0	0	0.82	0.86	0.88	0.9	0.93	0	0.33	0.36	0.4	0.43	0.46	0	0.22	0.22	0.23	0.24	0.25	0	0.66	0.66	0.66	0.67	0.67	0	0.65	0.65	0.66	0.67	0.67	0
1290	Writing	1.57	-0.07	-0.07	-0.07	-0.06	-0.06	0	-0.85	-0.85	-0.85	-0.85	-0.84	0	-0.63	-0.62	-0.62	-0.62	-0.61	0	0.21	0.21	0.22	0.23	0.23	0	0.95	0.96	0.96	0.97	0.97	0	-0.01	0	0.01	0.02	0.03	0	-0.07	-0.06	-0.03	-0.01	0.01	0	0.81	0.85	0.88	0.91	0.93	0	0.32	0.36	0.4	0.43	0.47	0	0.23	0.23	0.23	0.24	0.25	0	0.67	0.68	0.68	0.68	0.69	0	0.63	0.64	0.64	0.65	0.65	0
1320	Writing	1.24	-0.07	-0.07	-0.07	-0.07	-0.07	0	-0.85	-0.85	-0.85	-0.84	-0.84	0	-0.63	-0.63	-0.63	-0.62	-0.62	0	0.21	0.22	0.22	0.23	0.23	0	0.95	0.96	0.96	0.97	0.97	0	-0.01	0	0.01	0.02	0.03	0	-0.07	-0.06	-0.03	0	0.02	0	0.83	0.86	0.88	0.91	0.93	0	0.32	0.35	0.39	0.42	0.45	0	0.23	0.24	0.24	0.25	0.25	0	0.68	0.68	0.69	0.7	0.7	0	0.62	0.63	0.63	0.64	0.64	0
1350	Writing	1.52	-0.07	-0.07	-0.07	-0.07	-0.07	0	-0.85	-0.85	-0.85	-0.84	-0.84	0	-0.63	-0.63	-0.63	-0.62	-0.62	0	0.21	0.21	0.22	0.22	0.23	0	0.95	0.96	0.96	0.97	0.97	0	-0.01	0	0.01	0.02	0.03	0	-0.06	-0.04	-0.02	0.01	0.03	0	0.83	0.87	0.9	0.92	0.95	0	0.3	0.34	0.37	0.41	0.45	0	0.24	0.24	0.24	0.25	0.25	0	0.69	0.7	0.7	0.7	0.7	0	0.62	0.62	0.62	0.62	0.63	0
1380	Writing	1.56	-0.07	-0.07	-0.07	-0.07	-0.07	0	-0.85	-0.85	-0.84	-0.84	-0.84	0	-0.63	-0.63	-0.63	-0.63	-0.62	0	0.2	0.21	0.22	0.22	0.22	0	0.96	0.96	0.96	0.97	0.97	0	-0.02	-0.01	0	0.01	0.02	0	-0.03	-0.01	0	0.02	0.04	0	0.84	0.87	0.9	0.92	0.95	0	0.3	0.33	0.36	0.4	0.43	0	0.23	0.23	0.24	0.25	0.25	0	0.68	0.69	0.7	0.7	0.71	0	0.61	0.62	0.62	0.63	0.63	0
1410	Transition	1.69	-0.05	0.07	0.08	0.08	0.09	0	-1	-0.99	-0.99	-0.98	-0.9	0	-0.5	-0.31	-0.3	-0.29	-0.29	0	-0.11	-0.1	-0.09	-0.08	0.09	0	0.95	0.96	0.96	0.96	0.97	0	0.03	0.13	0.15	0.15	0.16	0	-0.97	-0.96	-0.95	-0.95	-0.9	-0.01	0.1	0.13	0.14	0.15	0.18	-0.01	0.16	0.17	0.2	0.22	0.25	0.01	0.35	0.95	0.97	0.97	0.98	-0.01	0.05	0.07	0.15	0.16	0.68	-0.04	0.13	0.18	0.2	0.22	0.3	0
1440	Transition	1.47	0.06	0.07	0.08	0.09	0.09	0	-0.99	-0.99	-0.99	-0.99	-0.98	0	-0.31	-0.31	-0.3	-0.3	-0.29	0	-0.09	-0.07	-0.06	-0.05	-0.05	0	0.96	0.96	0.96	0.97	0.97	0	0.14	0.15	0.15	0.15	0.15	0	-0.96	-0.7	-0.69	-0.68	-0.68	0	0.14	0.61	0.62	0.63	0.63	0	-0.31	-0.3	-0.29	-0.29	0.17	0	0.79	0.79	0.79	0.83	0.97	0	0.05	0.45	0.6	0.61	0.61	0	-0.21	-0.2	-0.19	-0.09	0.19	0
1470	Transition	1.55	0.06	0.08	0.09	0.1	0.12	0	-1	-0.99	-0.99	-0.98	-0.98	0	-0.39	-0.33	-0.3	-0.3	-0.29	0	-0.09	-0.07	-0.06	-0.05	-0.01	0	0.95	0.96	0.97	0.97	0.97	0	0.11	0.12	0.14	0.15	0.15	0	-0.7	-0.7	-0.69	-0.57	-0.56	-0.01	0.59	0.6	0.62	0.74	0.77	-0.01	-0.36	-0.34	-0.32	-0.26	-0.2	0	0.6	0.79	0.79	0.8	0.81	0	0.57	0.59	0.6	0.61	0.77	-0.01	-0.26	-0.24	-0.22	-0.22	-0.2	0
1500	Standing	1.52	0.07	0.08	0.09	0.11	0.15	0	-0.99	-0.98	-0.98	-0.98	-0.97	0	-0.34	-0.33	-0.32	-0.31	-0.31	0	-0.06	-0.06	-0.05	-0.03	-0.02	0	0.96	0.96	0.97	0.97	0.97	0	0.12	0.12	0.13	0.14	0.15	0	-1	-0.99	-0.98	-0.57	-0.52	0	0.08	0.09	0.12	0.69	0.75	0	-0.59	-0.21	-0.09	-0.07	-0.06	0	0.62	0.63	0.98	1	1	-0.01	0.09	0.11	0.14	0.74	0.75	-0.03	-0.3	-0.29	-0.11	-0.03	-0.02	-0.01
1530	Standing	1.01	0.07	0.07	0.08	0.09	0.1	0	-0.99	-0.99	-0.98	-0.98	-0.98	0	-0.33	-0.32	-0.32	-0.31	-0.31	0	-0.06	-0.06	-0.06	-0.05	-0.04	0	0.96	0.96	0.97	0.97	0.97	0	0.11	0.12	0.14	0.15	0.15	0	-0.99	-0.99	-0.99	-0.98	-0.98	0	0.09	0.1	0.11	0.12	0.12	0	-0.08	-0.07	-0.06	-0.05	-0.05	0	0.84	0.85	0.99	1	1	0.02	0.12	0.13	0.18	0.41	0.42	0	-0.4	-0.39	-0.06	-0.05	-0.04	0.05
1560	Standing	1.25	0	0.02	0.06	0.09	0.1	0	-1.01	-1	-0.99	-0.98	-0.98	0	-0.34	-0.32	-0.3	-0.28	-0.25	0	-0.06	-0.05	-0.03	-0.01	0.01	0	0.95	0.95	0.96	0.97	0.97	0	0.11	0.14	0.18	0.22	0.23	0	-0.99	-0.98	0.03	0.26	0.56	-0.19	0.11	0.15	0.51	0.72	0.86	0.01	-0.86	-0.68	-0.07	-0.04	0.52	-0.05	-0.5	-0.39	-0.03	0.98	0.99	-0.17	0.07	0.17	0.2	0.57	0.74	0.01	-0.91	-0.84	-0.06	-0.04	0.71	-0.03
1590	Standing	1.46	0.05	0.06	0.07	0.08	0.11	0	-1	-1	-0.99	-0.99	-0.98	0	-0.32	-0.31	-0.3	-0.27	-0.26	0	-0.04	-0.02	-0.01	0	0.01	0	0.95	0.95	0.96	0.96	0.97	0	0.16	0.18	0.19	0.21	0.22	0	-0.64	-0.63	-0.61	0.45	0.56	0	0.51	0.61	0.64	0.68	0.89	0	-0.74	-0.49	-0.41	-0.39	-0.03	0	-0.52	-0.42	0.61	0.69	0.69	0.02	0.38	0.52	0.64	0.66	0.86	0	-0.86	-0.61	-0.41	-0.39	-0.11	-0.01
1620	Standing	1.42	0.01	0.03	0.07	0.13	0.2	0	-1	-0.99	-0.99	-0.98	-0.96	0	-0.34	-0.33	-0.31	-0.31	-0.3	0	-0.05	-0.02	-0.02	0	0.02	0	0.95	0.96	0.96	0.97	0.97	0	0.15	0.16	0.17	0.18	0.18	0	-0.63	-0.62	-0.62	-0.61	-0.59	0	0.59	0.61	0.62	0.63	0.64	0	-0.5	-0.48	-0.46	-0.46	-0.45	0	0.75	0.77	0.78	0.79	0.8	0	0.57	0.59	0.6	0.61	0.63	0	-0.29	-0.27	-0.25	-0.24	-0.22	0
1650	Standing	1.33	0.07	0.08	0.09	0.11	0.15	0	-0.99	-0.99	-0.98	-0.97	-0.97	0	-0.36	-0.34	-0.32	-0.3	-0.29	0	-0.04	-0.03	-0.02	-0.02	-0.02	0	0.96	0.96	0.97	0.97	0.97	0	0.15	0.15	0.16	0.18	0.18	0	-0.64	-0.63	-0.63	-0.62	-0.62	0	0.59	0.6	0.61	0.62	0.63	0	-0.48	-0.47	-0.46	-0.45	-0.44	0	0.77	0.78	0.78	0.79	0.79	0	0.58	0.59	0.59	0.6	0.61	0	-0.28	-0.27	-0.26	-0.25	-0.25	0
1680	Standing	1.09	0.05	0.07	0.09	0.11	0.14	0	-0.99	-0.99	-0.98	-0.98	-0.97	0	-0.35	-0.34	-0.32	-0.31	-0.3	0	-0.06	-0.05	-0.04	-0.02	-0.02	0	0.96	0.96	0.97	0.97	0.97	0	0.14	0.15	0.15	0.16	0.18	0	-0.64	-0.63	-0.63	-0.63	-0.62	0	0.59	0.59	0.6	0.61	0.62	0	-0.49	-0.48	-0.47	-0.46	-0.45	0	0.78	0.78	0.79	0.79	0.8	0	0.57	0.58	0.59	0.6	0.6	0	-0.29	-0.29	-0.27	-0.26	-0.25	0
1710	Standing	1.2	0.06	0.07	0.09	0.13	0.15	0	-0.99	-0.99	-0.98	-0.98	-0.97	0	-0.33	-0.32	-0.32	-0.31	-0.3	0	-0.05	-0.04	-0.03	-0.02	0.01	0	0.96	0.96	0.96	0.97	0.97	0	0.15	0.15	0.16	0.18	0.18	0	-0.64	-0.63	-0.63	-0.57	-0.56	0	0.59	0.59	0.6	0.62	0.63	0	-0.54	-0.52	-0.48	-0.46	-0.46	0	0.74	0.75	0.78	0.79	0.79	0	0.58	0.59	0.59	0.61	0.62	0	-0.37	-0.34	-0.29	-0.27	-0.26	0
1740	Standing	0.92	0.04	0.06	0.11	0.15	0.18	0	-1	-0.99	-0.98	-0.97	-0.96	0	-0.33	-0.33	-0.32	-0.3	-0.29	0	-0.05	-0.04	-0.04	-0.02	-0.02	0	0.95	0.96	0.96	0.97	0.97	0	0.16	0.16	0.17	0.18	0.2	0	-0.61	-0.59	-0.59	-0.59	-0.58	0	0.57	0.59	0.59	0.6	0.61	0	-0.56	-0.55	-0.54	-0.53	-0.52	0	0.74	0.75	0.75	0.75	0.76	0	0.57	0.58	0.59	0.6	0.61	0	-0.4	-0.38	-0.37	-0.36	-0.35	0
1770	Standing	1.48	0.03	0.06	0.1	0.15	0.18	0	-1	-0.99	-0.98	-0.97	-0.96	0	-0.36	-0.33	-0.32	-0.3	-0.29	0	-0.05	-0.04	-0.02	0	0.01	0	0.95	0.96	0.96	0.97	0.97	0	0.15	0.16	0.17	0.19	0.21	0	-0.63	-0.62	-0.61	-0.59	-0.59	0	0.54	0.56	0.59	0.6	0.62	0	-0.56	-0.54	-0.53	-0.52	-0.5	0	0.73	0.75	0.75	0.77	0.79	0	0.56	0.58	0.6	0.61	0.63	0	-0.38	-0.36	-0.34	-0.32	-0.29	0
1800	Transition	1.19	0.05	0.06	0.06	0.07	0.18	0	-1	-0.99	-0.99	-0.98	-0.97	0	-0.33	-0.31	-0.31	-0.3	-0.3	0	-0.06	-0.06	-0.05	-0.04	-0.02	0	0.96	0.97	0.97	0.97	0.97	0	0.1	0.11	0.11	0.12	0.15	0	-0.97	-0.97	-0.96	-0.86	-0.57	-0.01	0.18	0.19	0.23	0.42	0.62	-0.01	-0.56	-0.18	-0.09	-0.06	-0.05	-0.01	0.8	0.92	0.97	0.98	0.98	0	0.19	0.2	0.23	0.4	0.55	0	-0.32	0.01	0.07	0.09	0.15	0
1830	Transition	1.25	0.01	0.06	0.1	0.17	0.21	0	-1	-0.99	-0.98	-0.96	-0.94	0	-0.45	-0.35	-0.33	-0.31	-0.29	0	-0.12	-0.04	-0.02	-0.01	0.01	0	0.93	0.96	0.96	0.97	0.99	0	0.05	0.15	0.16	0.18	0.18	0	-1.02	-0.83	-0.56	-0.56	-0.54	0.03	0.14	0.28	0.61	0.63	0.63	0	-0.56	-0.55	-0.54	-0.21	-0.08	-0.01	0.77	0.78	0.79	0.86	1	0.01	0.15	0.34	0.56	0.57	0.59	0.01	-0.34	-0.34	-0.32	-0.27	-0.02	-0.02
1860	Transition	2.45	-0.01	0.03	0.06	0.11	0.15	0	-1.05	-0.98	-0.97	-0.95	-0.93	0	-0.44	-0.42	-0.39	-0.32	-0.2	0	-0.31	-0.21	-0.06	-0.01	0.04	-0.01	0.86	0.94	0.97	0.98	1	0	0.02	0.04	0.09	0.13	0.23	0	-0.94	-0.46	-0.08	0.16	0.29	-0.02	0.11	0.46	0.77	0.97	1.21	0	-0.66	-0.24	0.21	0.56	0.83	0.02	-0.19	-0.03	0.22	0.63	1.04	0.01	0.18	0.45	0.7	0.94	1.14	0.01	-0.81	-0.5	-0.12	0.4	0.66	0.02
1890	MakingBed	2.52	-0.12	-0.05	0.02	0.11	0.16	0	-1.09	-1.02	-0.97	-0.94	-0.91	0	-0.49	-0.45	-0.4	-0.29	-0.12	0	-0.55	-0.38	-0.24	-0.09	-0.01	-0.01	0.77	0.86	0.93	0.97	0.99	0	-0.15	-0.05	0.06	0.12	0.21	0	-0.92	-0.71	-0.33	0.17	0.38	-0.02	0.09	0.44	0.69	0.92	1.12	0	-0.88	-0.57	-0.25	0.12	0.43	0.04	-0.35	-0.01	0.41	0.82	1.09	-0.03	0.09	0.37	0.63	0.87	1.11	0	-0.9	-0.57	-0.14	0.32	0.62	-0.05
1920	MakingBed	3.29	-0.08	-0.02	0.08	0.21	0.36	0	-1.07	-1.02	-0.98	-0.94	-0.89	0	-0.51	-0.44	-0.34	-0.2	-0.14	0	-0.65	-0.41	-0.21	-0.03	0.04	0	0.7	0.84	0.92	0.97	1	0	-0.18	-0.03	0.09	0.15	0.2	0	-0.99	-0.78	-0.38	0.08	0.31	-0.06	0.13	0.3	0.57	0.87	1.1	0	-0.8	-0.44	-0.04	0.35	0.71	0	-0.32	-0.1	0.38	0.82	1.01	0.02	0.18	0.38	0.59	0.87	1.09	0	-0.82	-0.56	-0.25	0.04	0.43	-0.04
1950	MakingBed	3.13	-0.08	-0.02	0.07	0.15	0.25	0	-1.04	-0.99	-0.97	-0.95	-0.9	0	-0.5	-0.44	-0.39	-0.34	-0.28	0	-0.25	-0.17	-0.1	-0.03	0.02	0	0.88	0.93	0.96	0.98	1.01	0	-0.09	-0.02	0.04	0.11	0.23	0	-1.02	-0.79	-0.26	0.11	0.33	-0.09	0.13	0.34	0.72	0.96	1.14	-0.03	-0.56	-0.22	0.03	0.38	0.63	0.06	-0.32	-0.06	0.42	0.8	1.11	0.06	0.14	0.38	0.66	0.89	1.12	-0.01	-0.76	-0.47	-0.24	0.02	0.29	0
1980	MakingBed	3.51	-0.11	-0.02	0.08	0.16	0.36	0	-1.07	-1.01	-0.98	-0.94	-0.89	0	-0.5	-0.41	-0.33	-0.26	-0.1	-0.01	-0.51	-0.29	-0.15	-0.07	0	-0.01	0.75	0.89	0.95	0.98	1.01	0	-0.09	0	0.08	0.16	0.24	-0.01	-0.97	-0.59	-0.18	0.16	0.4	0.03	0.02	0.41	0.75	0.96	1.15	0.01	-0.75	-0.41	-0.02	0.36	0.79	-0.06	-0.44	0	0.38	0.82	1.13	0.08	-0.01	0.33	0.66	0.89	1.14	0.03	-0.8	-0.5	-0.16	0.21	0.51	0.01
2010	MakingBed	3.41	-0.18	-0.12	-0.02	0.07	0.14	0	-1.08	-1.03	-1.01	-0.97	-0.91	0	-0.5	-0.38	-0.28	-0.16	-0.1	0	-0.68	-0.49	-0.26	-0.11	-0.04	-0.01	0.63	0.77	0.92	0.96	0.99	0	-0.26	-0.06	0.07	0.14	0.21	0	-1.09	-0.98	-0.84	-0.27	0.26	0.05	-0.03	0.15	0.26	0.57	0.91	0.03	-0.97	-0.58	-0.13	0.04	0.26	0	-0.18	0.25	0.76	1	1.19	-0.03	0.01	0.16	0.36	0.8	1.06	-0.01	-0.61	-0.35	-0.01	0.18	0.65	0
2040	MakingBed	3.78	-0.03	0.03	0.09	0.13	0.21	-0.01	-1.03	-1	-0.95	-0.93	-0.91	0	-0.48	-0.46	-0.4	-0.29	-0.18	0	-0.29	-0.18	-0.05	0.02	0.07	0.01	0.88	0.94	0.97	0.98	0.99	0	0.05	0.08	0.11	0.16	0.24	0	-0.91	-0.6	-0.04	0.22	0.5	0.01	0.04	0.37	0.63	0.9	1.11	-0.01	-0.81	-0.48	0.01	0.47	0.82	-0.03	-0.31	-0.02	0.25	0.6	1.01	-0.01	0.1	0.34	0.73	0.95	1.18	-0.01	-0.96	-0.56	-0.04	0.24	0.51	-0.01
2070	MakingBed	3.4	-0.15	-0.05	0.05	0.2	0.32	0	-1.06	-0.98	-0.95	-0.92	-0.89	0	-0.53	-0.48	-0.42	-0.32	-0.22	0	-0.72	-0.61	-0.43	-0.23	-0.05	0.01	0.57	0.7	0.83	0.93	0.98	0.01	-0.33	-0.17	0.02	0.11	0.23	0.01	-1.03	-0.77	-0.54	-0.16	0.34	0.04	0.02	0.34	0.6	0.86	1.11	0.03	-0.77	-0.5	-0.12	0.31	0.65	0.03	-0.31	0.1	0.55	0.86	1.15	0.05	-0.15	0.12	0.45	0.79	1.1	0	-0.91	-0.61	-0.12	0.37	0.72	-0.05
2100	MakingBed	3.49	-0.13	-0.05	0.04	0.15	0.22	0	-1.04	-1	-0.97	-0.93	-0.9	0	-0.5	-0.46	-0.37	-0.29	-0.22	0	-0.6	-0.25	-0.09	-0.01	0.07	-0.02	0.7	0.9	0.94	0.97	0.99	0	-0.05	0.09	0.14	0.22	0.3	0	-1.01	-0.79	-0.27	0.18	0.42	-0.11	0.06	0.31	0.61	0.85	1.17	-0.02	-0.87	-0.48	-0.06	0.34	0.63	-0.02	-0.53	-0.12	0.25	0.75	1.09	-0.09	0.1	0.32	0.61	0.85	1.12	-0.01	-0.89	-0.57	-0.12	0.23	0.59	-0.04
2130	MakingBed	3.99	-0.09	-0.02	0.06	0.12	0.2	0	-1.04	-1	-0.97	-0.94	-0.91	0	-0.5	-0.46	-0.38	-0.29	-0.16	0	-0.68	-0.45	-0.23	-0.07	0	0.01	0.65	0.84	0.92	0.96	0.98	0.01	-0.18	-0.02	0.11	0.18	0.23	0	-1.08	-0.9	-0.46	0.15	0.44	-0.02	0.03	0.27	0.52	0.83	1.09	-0.01	-0.93	-0.6	-0.11	0.27	0.73	0.05	-0.36	0.19	0.65	0.92	1.16	-0.04	-0.04	0.17	0.48	0.75	0.99	0.01	-0.7	-0.29	-0.03	0.38	0.72	0.06
